"number","title","sections","description","startDate","endDate","startStardate","endStardate","historiansNote","publicationDate","predecessorId"
"2x01","Shockwave, Part II",,,2152,,,,,"2002-09-18",
"2x02","Carbon Creek",,,"2152-04-12",,,,,"2002-09-25",
"2x03","Minefield",,,2152,,,,,"2002-10-02",
"2x04","Dead Stop",,,2152,,,,,"2002-10-09",
"2x05","A Night in Sickbay",,,2152,,,,,"2002-10-16",
"2x06","Marauders",,,2152,,,,,"2002-10-30",
"2x07","The Seventh",,,2152,,,,,"2002-11-06",
"2x08","The Communicator",,,2152,,,,,"2002-11-13",
"2x09","Singularity",,,"2152-08-14",,,,,"2002-11-20",
"2x10","Vanishing Point",,,2152,,,,,"2002-11-27",
"2x11","Precious Cargo",,,"2152-09-12",,,,,"2002-12-11",
"2x12","The Catwalk",,,"2152-09-18",,,,,"2002-12-18",
"2x13","Dawn",,,2152,,,,,"2003-01-08",
"2x14","Stigma",,,2152,,,,,"2003-02-05",
"2x15","Cease Fire",,,2152,,,,,"2003-02-12",
"2x16","Future Tense",,,2152,,,,,"2003-02-19",
"2x17","Canamar",,,2152,,,,,"2003-02-26",
"2x18","The Crossing",,,2152,,,,,"2003-04-02",
"2x19","Judgment",,,2152,,,,,"2003-04-09",
"2x20","Horizon",,,"2153-01-10",,,,,"2003-04-16",
"2x21","The Breach",,,2153,,,,,"2003-04-23",
"2x22","Cogenitor",,,2153,,,,,"2003-04-30",
"2x23","Regeneration",,,"2153-03-01",,,,,"2003-05-07",
"2x24","First Flight",,,"2153-03",,,,,"2003-05-14",
"2x25","Bounty",,,"2153-03-21",,,,,"2003-05-14",
"2x26","The Expanse",,,"2153-04-24",,,,,"2003-05-21",
